Northpoint Commercial Finance,,,,,,,,,,,,,,,
Inventory Aging by Model Number Report,,,,,,,,,,,,,,,
As of: 06/19/2026,,,,,,,,,,,,,,,
Business Name: Lauderdale Inflatables,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Dealer Name,Dealer CIN,Supplier Name,Supplier CIN,Invoice Number,Invoice Date,Aging (Days),Interest Start Date,Status,Model Year,Model Number,Serial/VIN,Original Balance,Current Balance,Curtailment Current Due,Past Due Curtailment
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21375,05/21/2025,394,05/21/2025,Transfer,,10AL GY,XMO51210H324,"4,586.56","4,242.58",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21593,12/19/2025,182,12/19/2025,In-Stock,,10ALX WH LS,XMO96017L526,"9,969.60","9,969.60",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21668,12/18/2025,183,12/18/2025,In-Stock,,10VSX,XMO65002H526,"10,944.89","10,944.89",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,20756,11/10/2023,952,11/10/2023,In-Stock,,10VSX GY LS,XMOXMO65054J324,"7,844.84","2,353.48",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21593,12/19/2025,182,12/19/2025,In-Stock,,10VSX WH LS,XMO65012L526,"8,384.03","8,384.03",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21593,12/19/2025,182,12/19/2025,In-Stock,,10VSX WH LS,XMO65011L526,"8,384.03","8,384.03",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,20730,07/05/2023,"1,080",07/05/2023,In-Stock,,11VSX GY,XMO35029G324,"8,600.16",860.04,0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,20756,11/10/2023,952,11/10/2023,In-Stock,,11VSX GY,XMO35039J324,"8,600.16","2,580.08",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21294,02/01/2025,503,02/01/2025,In-Stock,,12VL GY,XMO61011L425,"4,109.40","3,595.70",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,20730,07/05/2023,"1,080",07/05/2023,In-Stock,,13ALX GY,XMO87011G324,"12,532.24","1,253.20",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,20756,11/10/2023,952,11/10/2023,In-Stock,,13ALX GY,XMO87022J324,"12,532.24","3,759.64",0,0
Lauderdale Inflatables,52151,AB Inflatables USA,36914,21593,12/19/2025,182,12/19/2025,In-Stock,,13ALX WH,XMO87002A626,"13,713.56","13,713.56",0,0
